ID,Official_Code,Name,Type,Category,State,LGA,Ward,Address,Status,Sources
593,"GSS MALAM SIDI","GOVERNMENT SECONDARY SCHOOL MALAM SIDI",senior,public,GOMBE,KWAMI,"MALAM SIDI","MALAM SIDI",active,"GSU(#530)"
594,"BI PRIMARY SCHOOL","BIRI II PRIMARY SCHOOL",primary,public,GOMBE,NAFADA,"NAFADA","NAFADA",active,"GSU(#278); FCET_GOMBE(#278)"
595,"NW PRIMARY SCHOOL","NAFADA WEST PRIMARY SCHOOL",primary,public,GOMBE,NAFADA,"NAFADA","NAFADA",active,"GSU(#388); FCET_GOMBE(#388)"
596,"SN PRIMARY SCHOOL NAFADA","SORODO NOMADIC PRIMARY SCHOOL NAFADA",primary,public,GOMBE,NAFADA,"NAFADA","NAFADA",active,"GSU(#283); FCET_GOMBE(#283)"
597,"GJSS BIRIN BOLAWA","GOVERNMENT JUNIOR SECONDARY SCHOOL BIRIN BOLAWA",junior,public,GOMBE,NAFADA,"NAFADA","NAFADA",active,"FUK(#279); GSU(#279); FCET_GOMBE(#279)"
598,"GJSS BIRIN FULANI I","GOVERNMENT JUNIOR SECONDARY SCHOOL BIRIN FULANI I",junior,public,GOMBE,NAFADA,"NAFADA","NAFADA",active,"FUK(#280); GSU(#280); FCET_GOMBE(#280)"
599,"GJSS BIRIN FULANI II","GOVERNMENT JUNIOR SECONDARY SCHOOL BIRIN FULANI II",junior,public,GOMBE,NAFADA,"NAFADA","NAFADA",active,"FUK(#277); GSU(#277); FCET_GOMBE(#277)"
600,"GJSS NAFADA CENTRAL","GOVERNMENT JUNIOR SECONDARY SCHOOL NAFADA CENTRAL",junior,public,GOMBE,NAFADA,"NAFADA","NAFADA",active,"FUK(#281); GSU(#281); FCET_GOMBE(#281)"
601,"GJSS NAFADA WEST","GOVERNMENT JUNIOR SECONDARY SCHOOL NAFADA WEST",junior,public,GOMBE,NAFADA,"NAFADA","NAFADA",active,"FUK(#282); GSU(#282); FCET_GOMBE(#282)"
602,"GC NAFADA","GOVERNMENT COLLEGE NAFADA",senior,public,GOMBE,NAFADA,"NAFADA","NAFADA",active,"FUK(#426); GSU(#426)"
603,"GDSS BIRIN BOLAWA, NAFADA","GOVERNMENT DAY SECONDARY SCHOOL BIRIN BOLAWA, NAFADA",senior,public,GOMBE,NAFADA,"BIRIN BOLAWA, NAFADA","BIRIN BOLAWA NAFADA",active,"FUK(#526); GSU(#526)"
604,"GDSS BIRIN FULANI, NAFADA","GOVERNMENT DAY SECONDARY SCHOOL BIRIN FULANI, NAFADA",senior,public,GOMBE,NAFADA,"BIRIN FULANI","BIRIN FULANI, NAFADA",active,"FUK(#525); GSU(#525)"
605,"NC SECONDARY SCHOOL","NAFADA COMMUNITY SECONDARY SCHOOL",senior,public,GOMBE,NAFADA,"NAFADA","NAFADA",active,"FUK(#425); GSU(#425)"
606,"BP SCHOOL BAKUNJI","BAGUNJI PRI SCHOOL BAKUNJI",primary,public,GOMBE,SHONGOM,"BAKUNJI","BAGUNJI SHONGOM",active,"FCET_GOMBE(#425)"
607,"CPS BOH","CENTRAL PRIMARY SCHOOL BOH",primary,public,GOMBE,SHONGOM,"SHONGOM","SHONGOM",active,"GSU(#298); FCET_GOMBE(#298)"
608,"FK PRIMARY SCHOOL","FARIN KASA PRIMARY SCHOOL",primary,public,GOMBE,SHONGOM,"SHONGOM","SHONGOM",active,"GSU(#302); FCET_GOMBE(#302)"
609,"FPS SCHOOL","FILIYA PRIMARY SCHOOL",primary,public,GOMBE,SHONGOM,"SHONGOM","SHONGOM",active,"GSU(#286); FCET_GOMBE(#286)"
610,"LPS SCHOOL 3","LALAIPIDO PRIMARY SCHOOL",primary,public,GOMBE,SHONGOM,"SHONGOM","SHONGOM",active,"GSU(#289); FCET_GOMBE(#289)"
611,"LP SCHOOL LAPAN","LANTEME PRIMARY SCHOOL LAPAN",primary,public,GOMBE,SHONGOM,"SHONGOM","SHONGOM",active,"GSU(#295); FCET_GOMBE(#295)"
612,"PP SCIENCE PRIMARY SCHOOL","PERO PILOT SCIENCE PRIMARY SCHOOL",primary,public,GOMBE,SHONGOM,"SHONGOM","SHONGOM",active,"GSU(#305); FCET_GOMBE(#305)"
613,"PPS SCHOOL 4","POKATA PRIMARY SCHOOL",primary,public,GOMBE,SHONGOM,"SHONGOM","SHONGOM",active,"GSU(#300); FCET_GOMBE(#300)"
614,"GJSS BAGUNJI","GOVERNMENT JUNIOR SECONDARY SCHOOL BAGUNJI",junior,public,GOMBE,SHONGOM,"SHONGOM","SHONGOM",active,"FUK(#292); GSU(#292); FCET_GOMBE(#292)"
615,"GJSS BOH","GOVERNMENT JUNIOR SECONDARY SCHOOL BOH",junior,public,GOMBE,SHONGOM,"SHONGOM","SHONGOM",active,"FUK(#299); GSU(#299); FCET_GOMBE(#299)"
616,"GJSS BURAK","GOVERNMENT JUNIOR SECONDARY SCHOOL BURAK",junior,public,GOMBE,SHONGOM,"SHONGOM","SHONGOM",active,"FUK(#293); GSU(#293); FCET_GOMBE(#293)"
617,"GJSS DWAJA","GOVERNMENT JUNIOR SECONDARY SCHOOL DWAJA",junior,public,GOMBE,SHONGOM,"DWAJA","ALONG ALONG FLIYA ROAD",active,"FCET_GOMBE(#423)"
618,"GJSS FARIN KASA","GOVERNMENT JUNIOR SECONDARY SCHOOL FARIN KASA",junior,public,GOMBE,SHONGOM,"SHONGOM","SHONGOM",active,"FUK(#301); GSU(#301); FCET_GOMBE(#301)"
619,"GJSS FARIN KASA FILIYA","GOVERNMENT JUNIOR SECONDARY SCHOOL FARIN KASA FILIYA",junior,public,GOMBE,SHONGOM,"FILIYA","FILIYA",active,"FUK(#549)"
620,"GJSS FILIYA","GOVERNMENT JUNIOR SECONDARY SCHOOL FILIYA",junior,public,GOMBE,SHONGOM,"SHONGOM","SHONGOM",active,"FUK(#287); GSU(#287); FCET_GOMBE(#287)"
621,"GJSS GWANDUM","GOVERNMENT JUNIOR SECONDARY SCHOOL GWANDUM",junior,public,GOMBE,SHONGOM,"SHONGOM","SHONGOM",active,"FUK(#288); GSU(#288); FCET_GOMBE(#288)"
622,"GJSS KALOH BAGUNJI","GOVERNMENT JUNIOR SECONDARY SCHOOL KALOH BAGUNJI",junior,public,GOMBE,SHONGOM,"SHONGOM","SHONGOM",active,"FUK(#294); GSU(#294); FCET_GOMBE(#294)"
623,"GJSS KAREL SHONGOM LGA","GOVERNMENT JUNIOR SECONDARY SCHOOL KAREL SHONGOM LGA",junior,public,GOMBE,SHONGOM,"SHONGOM","KAREL, SHONGOM",active,"FCET_GOMBE(#416)"
624,"GJSS KULISHIN","GOVERNMENT JUNIOR SECONDARY SCHOOL KULISHIN",junior,public,GOMBE,SHONGOM,"KULISHIN","KULISHIN",active,"FUK(#542)"
625,"GJSS KULISHIN SHONGOM","GOVERNMENT JUNIOR SECONDARY SCHOOL KULISHIN SHONGOM",junior,public,GOMBE,SHONGOM,"KULISHIN","KULISHIN",active,"FUK(#541)"
626,"GJSS KUSHI","GOVERNMENT JUNIOR SECONDARY SCHOOL KUSHI",junior,public,GOMBE,SHONGOM,"SHONGOM","SHONGOM",active,"FUK(#284); GSU(#284); FCET_GOMBE(#284)"
627,"GJSS LALAIPIDO","GOVERNMENT JUNIOR SECONDARY SCHOOL LALAIPIDO",junior,public,GOMBE,SHONGOM,"SHONGOM","SHONGOM",active,"FUK(#290); GSU(#290); FCET_GOMBE(#290)"
628,"GJSS LAPAN","GOVERNMENT JUNIOR SECONDARY SCHOOL LAPAN",junior,public,GOMBE,SHONGOM,"SHONGOM","SHONGOM",active,"FUK(#297); GSU(#297); FCET_GOMBE(#297)"
629,"GJSS LATATAR","GOVERNMENT JUNIOR SECONDARY SCHOOL LATATAR",junior,public,GOMBE,SHONGOM,"SHONGOM","SHONGOM",active,"FUK(#296); GSU(#296); FCET_GOMBE(#296)"
